dimension,finding_id,severity,reviewers_severity,verification,timing,effort,title,files
"api-contract-mobile","framework-errors-escape-envelope","high","medium","confirmed","now","S","401/404/405/422/429/500 rendered by Laravel bypass the envelope; unauthenticated requests without Accept: application/json are redirected, not 401","backend/bootstrap/app.php:22-24; backend/routes/web.php:5-10; backend/app/Http/Controllers/Api/StudentController.php:343; backend/app/Http/Controllers/Api/ReportPdfController.php:84; frontend-html/js/ui.js:355-358; frontend-html/js/api.js:30"
"api-contract-mobile","date-only-fields-utc-shifted","high","medium","confirmed","now","S","Date-only columns serialize as UTC ISO datetimes shifted to the previous day; date formats are mixed across endpoints","backend/config/app.php:70; backend/app/Models/Attendance.php:22-26; backend/app/Models/Memorization.php:23-25; backend/app/Models/WeeklyTest.php:17-19; backend/app/Models/Student.php:30-35; backend/app/Http/Controllers/Api/WeeklyTestController.php:25-30; backend/app/Http/Controllers/Api/CenterManagerController.php:545-547; frontend-html/teacher/weekly-tests.html:33"
"api-contract-mobile","pagination-shape-polymorphic","high","medium","confirmed","now","M","List responses switch between paginator object and plain array (?all=1), between {} and [] when empty, with hard-coded page sizes and no per_page","backend/app/Http/Controllers/Api/TeacherController.php:41-50; backend/app/Http/Controllers/Api/StudentController.php:132-142; backend/app/Http/Controllers/Api/CenterController.php:21-30; backend/app/Http/Controllers/Api/CenterManagerController.php:188-194; backend/app/Http/Controllers/Api/AttendanceController.php:29-38; backend/app/Http/Controllers/Api/AttendanceController.php:139-155; backend/app/Http/Controllers/Api/StudentController.php:764-801"
"api-contract-mobile","no-openapi-contract","high","medium","confirmed","now","L","No OpenAPI/Postman/API-Resource contract artefact; CLAUDE.md is the only route documentation and has drifted from the code","backend/composer.json:7-13; backend/app/Http/Controllers/Controller.php; CLAUDE.md; backend/routes/api.php"
"api-contract-mobile","no-api-versioning","medium","low","confirmed","now","S","All routes live under /api with no version segment; a shipped mobile client would pin an un-versioned contract","backend/routes/api.php:16-173; backend/bootstrap/app.php:8-13; frontend-html/js/config.js:10-12"
"api-contract-mobile","token-lifecycle-not-mobile-shaped","medium","low","confirmed","now","M","Login returns no expiry or abilities, no device name, no refresh or logout-all; 7-day hard expiry forces weekly re-login; bad credentials are 422","backend/app/Http/Controllers/Api/AuthController.php:62-83; backend/app/Http/Controllers/Api/AuthController.php:89-97; backend/app/Http/Controllers/Api/AuthController.php:225-237; backend/config/sanctum.php:52; backend/routes/api.php:16-28"
"api-contract-mobile","self-service-gaps-manager-parent","high","medium","confirmed","now","M","Center managers have no forgot-password and no change-password path; parents cannot change their password while logged in (/profile is teacher-gated)","backend/app/Http/Controllers/Api/AuthController.php:132; backend/app/Http/Controllers/Api/AuthController.php:184; backend/routes/api.php:133-137; backend/app/Http/Controllers/Api/TeacherProfileController.php:74-103"
"api-contract-mobile","no-push-or-device-token-endpoints","medium","low","confirmed","next","L","Notifications are database-only with 60s web polling; no FCM/APNs device registration, no unread badge push, notification links are web HTML paths and ref_id is not exposed","backend/app/Notifications/InAppNotification.php:34-37; backend/app/Http/Controllers/Api/NotificationController.php:20-29; backend/app/Http/Controllers/Api/MessageController.php:273; backend/app/Http/Controllers/Api/MemorizationController.php:198; frontend-html/js/layout.js:257"
"api-contract-mobile","errors-arabic-strings-only","medium","low","confirmed","next","M","Errors carry only Arabic human strings — no stable machine-readable code; business-rule failures reuse 422/403/404 inconsistently","backend/app/Http/Controllers/Api/StudentRequestController.php:229-234; backend/app/Http/Controllers/Api/CenterManagerController.php:296-303; backend/app/Http/Controllers/Api/CenterManagerController.php:255-260; backend/app/Http/Controllers/Api/CenterManagerController.php:648-655; backend/app/Http/Controllers/Api/AuthController.php:42-58; backend/app/Http/Controllers/Api/AttendanceImportController.php:390-404"
"api-contract-mobile","unbounded-list-payloads","medium","low","confirmed","next","M","Several endpoints return the whole table (or all rows for admin) with no cap, and one report is N+1 per student","backend/app/Http/Controllers/Api/MemorizationController.php:81-94; backend/app/Http/Controllers/Api/DashboardController.php:40-42; backend/app/Http/Controllers/Api/ReportController.php:91-111; backend/app/Http/Controllers/Api/StudentController.php:132-133; backend/app/Http/Controllers/Api/AttendanceController.php:17-23; backend/app/Http/Controllers/Api/AttendanceImportController.php:342-375"
